Week,Player,Choice,Type,Fantasy Points
2,ListEm,Mitchell Trubisky,Deep,13.2
2,Madmike,Daniel Jones,Standard,7.74
2,Madmike,Mitchell Trubisky,Deep,13.2
2,Moose,Gardner Minshew,Standard,23.46
2,Moose,Derek Carr,Deep,21.58
2,Noro,Philip Rivers,Standard,10.86
2,Noro,Philip Rivers,Deep,10.86
2,Peltron3030,Kirk Cousins,Standard,-1.48
2,Peltron3030,Derek Carr,Deep,21.58
2,Rob,Daniel Jones,Standard,7.74
2,Rob,Philip Rivers,Deep,10.86
2,Smashadams83,Jared Goff,Standard,23.98
2,Smashadams83,Philip Rivers,Deep,10.86
2,Spaniard,Jared Goff,Standard,23.98
2,Spaniard,Gardner Minshew,Deep,23.46
2,tanay002,Kirk Cousins,Standard,-1.48
2,tanay002,Derek Carr,Deep,21.58
2,tc216997,Jimmy Garoppolo,Standard,13.24
2,tc216997,Mitchell Trubisky,Deep,13.2
2,Templare1,Jared Goff,Standard,23.98
2,Templare1,Philip Rivers,Deep,10.86
2,tylerj03#0012,Jared Goff,Standard,23.98
2,tylerj03#0012,Mitchell Trubisky,Deep,13.2
2,verticle,Ryan Tannehill,Standard,26.76
2,verticle,Mitchell Trubisky,Deep,13.2
3,apatel78,Gardner Minshew,Standard,9.2
3,apatel78,Justin Herbert,Deep,14.7
3,Bakron,Gardner Minshew,Standard,9.2
3,Bakron,Mitchell Trubisky,Deep,11.62
3,Benzo,Daniel Jones,Standard,8.06
3,Benzo,Nick Mullens,Deep,17.72
3,Bootz,Gardner Minshew,Standard,9.2
3,Bootz,Nick Mullens,Deep,17.72
3,Brando,Ryan Fitzpatrick,Standard,24.7
3,Brando,Justin Herbert,Deep,14.7
3,Chandlerbing310,Gardner Minshew,Standard,9.2
3,Chandlerbing310,Mitchell Trubisky,Deep,11.62
3,christhrowsrocks,Gardner Minshew,Standard,9.2
3,christhrowsrocks,Justin Herbert,Deep,14.7
3,Code Monkey,Gardner Minshew,Standard,9.2
3,Code Monkey,Justin Herbert,Deep,14.7
3,dudekids,Daniel Jones,Standard,8.06
3,dudekids,Ryan Fitzpatrick,Deep,24.7
3,DUME,Gardner Minshew,Standard,9.2
3,DUME,Nick Mullens,Deep,17.72
3,Elementsoul,Gardner Minshew,Standard,9.2
3,Elementsoul,Mitchell Trubisky,Deep,11.62
3,FooL,Mitchell Trubisky,Standard,11.62
3,FooL,Justin Herbert,Deep,14.7
3,FoolsTP,Daniel Jones,Standard,8.06
3,FoolsTP,Justin Herbert,Deep,14.7
3,Herbal,Gardner Minshew,Standard,9.2
3,Herbal,Mitchell Trubisky,Deep,11.62
3,ikyn,Ryan Fitzpatrick,Standard,24.7
3,ikyn,Justin Herbert,Deep,14.7
3,jizzmonkey69,Philip Rivers,Standard,12.68
3,jizzmonkey69,Justin Herbert,Deep,14.7
3,Jnmaniac1,Gardner Minshew,Standard,9.2
3,Jnmaniac1,Justin Herbert,Deep,14.7
3,Kieran563,Philip Rivers,Standard,12.68
3,Kieran563,Justin Herbert,Deep,14.7
3,Kingships,Gardner Minshew,Standard,9.2
3,Kingships,Mitchell Trubisky,Deep,11.62
3,Klay,Gardner Minshew,Standard,9.2
3,Klay,Ryan Fitzpatrick,Deep,24.7
3,ListEm,Daniel Jones,Standard,8.06
3,ListEm,Justin Herbert,Deep,14.7
3,Madmike,Daniel Jones,Standard,8.06
3,Madmike,Derek Carr,Deep,15.44
3,Moose,Baker Mayfield,Standard,14.34
3,Moose,Derek Carr,Deep,15.44
3,Noro,Gardner Minshew,Standard,9.2
3,Noro,Mitchell Trubisky,Deep,11.62
3,Peltron3030,Justin Herbert,Standard,14.7
3,Peltron3030,Teddy Bridgewater,Deep,14.6
3,Smashadams83,Gardner Minshew,Standard,9.2
3,Smashadams83,Justin Herbert,Deep,14.7
3,Spaniard,Gardner Minshew,Standard,9.2
3,Spaniard,Justin Herbert,Deep,14.7
3,tanay002,Gardner Minshew,Standard,9.2
3,tanay002,Justin Herbert,Deep,14.7
3,tc216997,Gardner Minshew,Standard,9.2
3,tc216997,Ryan Fitzpatrick,Deep,24.7
3,Templare1,Gardner Minshew,Standard,9.2
3,Templare1,Mitchell Trubisky,Deep,11.62
4,christhrowsrocks,Kirk Cousins,Standard,14.9
4,ikyn,Gardner Minshew,Standard,20.94
4,Templare1,Gardner Minshew,Standard,20.94
4,Chandlerbing310,Kirk Cousins,Standard,14.9
4,Jnmaniac1,Gardner Minshew,Standard,20.94
4,FooL,Kirk Cousins,Standard,14.9
4,Herbal,Ryan Fitzpatrick,Standard,21.3
4,Peltron3030,Kirk Cousins,Standard,14.9
4,DUME,Teddy Bridgewater,Standard,26.24
4,Kingships,Gardner Minshew,Standard,20.94
4,Smashadams83,Kirk Cousins,Standard,14.9
4,FoolsTP,Nick Foles,Standard,11.86
4,elementsoul,Nick Mullens,Standard,6
4,tc216997,Teddy Bridgewater,Standard,26.24
4,Noro,Gardner Minshew,Standard,20.94
4,Spaniard,Gardner Minshew,Standard,20.94
4,Apatel78,Gardner Minshew,Standard,20.94
4,Bakron,Baker Mayfield,Standard,15.2
4,Brando,Baker Mayfield,Standard,15.2
4,Kieran563,Nick Mullens,Standard,6
4,benzo,Sam Darnold,Standard,23.6
4,ListEm,Gardner Minshew,Standard,20.94
4,tanay002,Gardner Minshew,Standard,20.94
4,Bootz,Ryan Fitzpatrick,Standard,21.3
4,Klay,Kirk Cousins,Standard,14.9
4,dudekids,Baker Mayfield,Standard,15.2
4,Moose,Baker Mayfield,Standard,15.2
4,christhrowsrocks,Nick Foles,Deep,11.86
4,ikyn,Nick Foles,Deep,11.86
4,Templare1,Ryan Fitzpatrick,Deep,21.3
4,Chandlerbing310,Ryan Fitzpatrick,Deep,21.3
4,Jnmaniac1,Ryan Fitzpatrick,Deep,21.3
4,FooL,Justin Herbert,Deep,23
4,Herbal,Nick Foles,Deep,11.86
4,Peltron3030,Sam Darnold,Deep,23.6
4,DUME,Ryan Fitzpatrick,Deep,21.3
4,Kingships,Ryan Fitzpatrick,Deep,21.3
4,Smashadams83,Ryan Fitzpatrick,Deep,21.3
4,FoolsTP,Justin Herbert,Deep,23
4,elementsoul,Ryan Fitzpatrick,Deep,21.3
4,tc216997,Ryan Fitzpatrick,Deep,21.3
4,Noro,Ryan Fitzpatrick,Deep,21.3
4,Spaniard,Justin Herbert,Deep,23
4,Apatel78,Ryan Fitzpatrick,Deep,21.3
4,Bakron,Ryan Fitzpatrick,Deep,21.3
4,Brando,Ryan Fitzpatrick,Deep,21.3
4,Kieran563,Sam Darnold,Deep,23.6
4,benzo,Teddy Bridgewater,Deep,26.24
4,ListEm,Nick Mullens,Deep,6
4,tanay002,Sam Darnold,Deep,23.6
4,Bootz,Ryan Fitzpatrick,Deep,21.3
4,Klay,Ryan Fitzpatrick,Deep,21.3
4,jizzmonkey69,Ryan Fitzpatrick,Deep,21.3
4,dudekids,Nick Mullens,Deep,6
4,Moose,Nick Foles,Deep,11.86
5,christhrowsrocks,Justin Herbert,Standard,27.36
5,Peltron3030,Teddy Bridgewater,Standard,20.82
5,Moose,Teddy Bridgewater,Standard,20.82
5,FoolsTP,Daniel Jones,Standard,8.18
5,Chandlerbing310,Teddy Bridgewater,Standard,20.82
5,Bakron,Justin Herbert,Standard,27.36
5,Herbal,Kirk Cousins,Standard,14.16
5,Smashadams83,Teddy Bridgewater,Standard,20.82
5,Spaniard,Gardner Minshew,Standard,19.84
5,Kingships,Gardner Minshew,Standard,19.84
5,tanay002,Teddy Bridgewater,Standard,20.82
5,dudekids,Teddy Bridgewater,Standard,20.82
5,apatel78,Gardner Minshew,Standard,19.84
5,Brando,Kirk Cousins,Standard,14.16
5,ListEm,Kirk Cousins,Standard,14.16
5,Kieran563,Kirk Cousins,Standard,14.16
5,elementsoul,Teddy Bridgewater,Standard,20.82
5,tc216997,Teddy Bridgewater,Standard,20.82
5,Templare1,Teddy Bridgewater,Standard,20.82
5,Madmike,Daniel Jones,Standard,8.18
5,FooL,Daniel Jones,Standard,8.18
5,Noro,Gardner Minshew,Standard,19.84
5,Bootz,Teddy Bridgewater,Standard,20.82
5,christhrowsrocks,Kyle Allen,Deep,9.66
5,Peltron3030,Ryan Fitzpatrick,Deep,27.6
5,Moose,Nick Foles,Deep,11.62
5,FoolsTP,Derek Carr,Deep,23.98
5,Chandlerbing310,Ryan Fitzpatrick,Deep,27.6
5,Bakron,Ryan Fitzpatrick,Deep,27.6
5,Herbal,Derek Carr,Deep,23.98
5,Smashadams83,Kyle Allen,Deep,9.66
5,Spaniard,Derek Carr,Deep,23.98
5,Kingships,Philip Rivers,Deep,5.62
5,tanay002,Derek Carr,Deep,23.98
5,dudekids,Nick Foles,Deep,11.62
5,apatel78,Philip Rivers,Deep,5.62
5,Brando,Derek Carr,Deep,23.98
5,ListEm,Derek Carr,Deep,23.98
5,Kieran563,Derek Carr,Deep,23.98
5,elementsoul,Derek Carr,Deep,23.98
5,tc216997,Philip Rivers,Deep,5.62
5,Templare1,Ryan Fitzpatrick,Deep,27.6
5,Madmike,Ryan Fitzpatrick,Deep,27.6
5,FooL,Ryan Fitzpatrick,Deep,27.6
5,Noro,Derek Carr,Deep,23.98
5,Bootz,Ryan Fitzpatrick,Deep,27.6
6,christhrowsrocks,Kirk Cousins,Standard,23.72
6,Bootz,Ryan Fitzpatrick,Standard,16.04
6,Kingships,Kirk Cousins,Standard,23.72
6,tanay002,Ryan Fitzpatrick,Standard,16.04
6,Chandlerbing310,Kirk Cousins,Standard,23.72
6,Jnmaniac1,Ryan Fitzpatrick,Standard,16.04
6,Spaniard,Ryan Fitzpatrick,Standard,16.04
6,Templare1,Kirk Cousins,Standard,23.72
6,Apatel78,Teddy Bridgewater,Standard,9.44
6,Madmike,Kirk Cousins,Standard,23.72
6,tc216997,Daniel Jones,Standard,13.88
6,DUME,Kirk Cousins,Standard,23.72
6,dudekids,Kirk Cousins,Standard,23.72
6,Peltron3030,Kirk Cousins,Standard,23.72
6,Moose,Andy Dalton,Standard,11.04
6,Brando,Kirk Cousins,Standard,23.72
6,Herbal,Ryan Fitzpatrick,Standard,16.04
6,FoolsTP,Kirk Cousins,Standard,23.72
6,Elementsoul,Kirk Cousins,Standard,23.72
6,Bakron,Ryan Fitzpatrick,Standard,16.04
6,Kieran563,Ryan Fitzpatrick,Standard,16.04
6,ikyn,Kirk Cousins,Standard,23.72
6,FooL,Ryan Fitzpatrick,Standard,16.04
6,Noro,Ryan Fitzpatrick,Standard,16.04
6,christhrowsrocks,Andy Dalton,Deep,11.04
6,Bootz,Andy Dalton,Deep,11.04
6,Kingships,Kyle Allen,Deep,16
6,tanay002,Andy Dalton,Deep,11.04
6,Chandlerbing310,Andy Dalton,Deep,11.04
6,Jnmaniac1,Andy Dalton,Deep,11.04
6,Spaniard,Andy Dalton,Deep,11.04
6,Templare1,Andy Dalton,Deep,11.04
6,Apatel78,Andy Dalton,Deep,11.04
6,Madmike,Andy Dalton,Deep,11.04
6,tc216997,Nick Foles,Deep,16.32
6,DUME,Andy Dalton,Deep,11.04
6,dudekids,Philip Rivers,Deep,24.74
6,Peltron3030,Andy Dalton,Deep,11.04
6,Moose,Nick Foles,Deep,16.32
6,Brando,Andy Dalton,Deep,11.04
6,Herbal,Andy Dalton,Deep,11.04
6,FoolsTP,Philip Rivers,Deep,24.74
6,Elementsoul,Andy Dalton,Deep,11.04
6,Bakron,Andy Dalton,Deep,11.04
6,Kieran563,Andy Dalton,Deep,11.04
6,ikyn,Andy Dalton,Deep,11.04
6,FooL,Andy Dalton,Deep,11.04
6,Noro,Andy Dalton,Deep,11.04
7,christhrowsrocks,Andy Dalton,Standard,2.6
7,Templare1,Andy Dalton,Standard,2.6
7,Moose,Kyle Allen,Standard,16.86
7,Peltron3030,Baker Mayfield,Standard,29.78
7,FoolsTP,Baker Mayfield,Standard,29.78
7,Chandlerbing310,Teddy Bridgewater,Standard,19.16
7,Herbal,Baker Mayfield,Standard,29.78
7,FooL,Daniel Jones,Standard,20.68
7,Spaniard,Teddy Bridgewater,Standard,19.16
7,Noro,Teddy Bridgewater,Standard,19.16
7,jizzmonkey69,Drew Lock,Standard,12.96
7,Kingships,Teddy Bridgewater,Standard,19.16
7,Madmike,Daniel Jones,Standard,20.68
7,tc216997,Teddy Bridgewater,Standard,19.16
7,Apatel78,Derek Carr,Standard,19.26
7,dudekids,Baker Mayfield,Standard,29.78
7,Bakron,Teddy Bridgewater,Standard,19.16
7,DUME,Teddy Bridgewater,Standard,19.16
7,Kieran563,Baker Mayfield,Standard,29.78
7,Brando,Derek Carr,Standard,19.26
7,Elementsoul,Andy Dalton,Standard,2.6
7,ikyn,Teddy Bridgewater,Standard,19.16
7,Bootz,Sam Darnold,Standard,0.8
7,tanay002,Derek Carr,Standard,19.26
7,christhrowsrocks,Derek Carr,Deep,19.26
7,Templare1,Jimmy Garoppolo,Deep,7.48
7,Moose,Jimmy Garoppolo,Deep,7.48
7,Peltron3030,Kyle Allen,Deep,16.86
7,FoolsTP,Nick Foles,Deep,6.44
7,Chandlerbing310,Jimmy Garoppolo,Deep,7.48
7,Herbal,Derek Carr,Deep,19.26
7,FooL,Kyle Allen,Deep,16.86
7,Spaniard,Derek Carr,Deep,19.26
7,Noro,Jimmy Garoppolo,Deep,7.48
7,jizzmonkey69,Drew Lock,Deep,12.96
7,Kingships,Nick Foles,Deep,6.44
7,Madmike,Derek Carr,Deep,19.26
7,tc216997,Derek Carr,Deep,19.26
7,Apatel78,Derek Carr,Deep,19.26
7,dudekids,Drew Lock,Deep,12.96
7,Bakron,Derek Carr,Deep,19.26
7,DUME,Kyle Allen,Deep,16.86
7,Kieran563,Drew Lock,Deep,12.96
7,Brando,Kyle Allen,Deep,16.86
7,Elementsoul,Jimmy Garoppolo,Deep,7.48
7,ikyn,Jimmy Garoppolo,Deep,7.48
7,Bootz,Sam Darnold,Deep,0.8
7,tanay002,Derek Carr,Deep,19.26
8,christhrowsrocks,Jimmy Garoppolo,Standard,1.76
8,Kingships,Teddy Bridgewater,Standard,12.04
8,Chandlerbing310,Jimmy Garoppolo,Standard,1.76
8,tc216997,Jimmy Garoppolo,Standard,1.76
8,Bakron,Teddy Bridgewater,Standard,12.04
8,Peltron3030,Teddy Bridgewater,Standard,12.04
8,Templare1,Teddy Bridgewater,Standard,12.04
8,Spaniard,Teddy Bridgewater,Standard,12.04
8,Moose,Derek Carr,Standard,12.54
8,FooL,Baker Mayfield,Standard,7.78
8,Herbal,Teddy Bridgewater,Standard,12.04
8,FoolsTP,Baker Mayfield,Standard,7.78
8,Smashadams83,Teddy Bridgewater,Standard,12.04
8,Brando,Teddy Bridgewater,Standard,12.04
8,Kieran563,Baker Mayfield,Standard,7.78
8,Apatel78,Teddy Bridgewater,Standard,12.04
8,jizzmonkey69,Baker Mayfield,Standard,7.78
8,Bootz,Nick Foles,Standard,16.88
8,elementsoul,Teddy Bridgewater,Standard,12.04
8,Madmike,Derek Carr,Standard,12.54
8,ikyn,Ben DiNucci,Standard,5.4
8,Noro,Jimmy Garoppolo,Standard,1.76
8,tanay002,Derek Carr,Standard,12.54
8,dudekids,Derek Carr,Standard,12.54
8,christhrowsrocks,Philip Rivers,Deep,22.28
8,Kingships,Kirk Cousins,Deep,10.4
8,Chandlerbing310,Kirk Cousins,Deep,10.4
8,tc216997,Kirk Cousins,Deep,10.4
8,Bakron,Kirk Cousins,Deep,10.4
8,Peltron3030,Kirk Cousins,Deep,10.4
8,Templare1,Kirk Cousins,Deep,10.4
8,Spaniard,Tua Tagovailoa,Deep,5.72
8,Moose,Philip Rivers,Deep,22.28
8,FooL,Philip Rivers,Deep,22.28
8,Herbal,Kirk Cousins,Deep,10.4
8,FoolsTP,Philip Rivers,Deep,22.28
8,Smashadams83,Ben DiNucci,Deep,5.4
8,Brando,Sam Darnold,Deep,7.42
8,Kieran563,Drew Lock,Deep,19.82
8,Apatel78,Tua Tagovailoa,Deep,5.72
8,jizzmonkey69,Tua Tagovailoa,Deep,5.72
8,Bootz,Nick Foles,Deep,16.88
8,elementsoul,Drew Lock,Deep,19.82
8,Madmike,Kirk Cousins,Deep,10.4
8,ikyn,Ben DiNucci,Deep,5.4
8,Noro,Nick Foles,Deep,16.88
8,tanay002,Ben DiNucci,Deep,5.4
8,dudekids,Ben DiNucci,Deep,5.4
9,christhrowsrocks,Teddy Bridgewater,Standard,28.3
9,Templare1,Derek Carr,Standard,14
9,tc216997,Derek Carr,Standard,14
9,Herbal,Derek Carr,Standard,14
9,Chandlerbing310,Kirk Cousins,Standard,20.8
9,DUME,Derek Carr,Standard,14
9,Bootz,Drew Lock,Standard,29.22
9,Moose,Kyle Allen,Standard,2.48
9,Apatel78,Derek Carr,Standard,14
9,Madmike,Daniel Jones,Standard,12.88
9,ikyn,Drew Lock,Standard,29.22
9,dudekids,Teddy Bridgewater,Standard,28.3
9,Peltron3030,Kirk Cousins,Standard,20.8
9,Kingships,Derek Carr,Standard,14
9,Kieran563,Daniel Jones,Standard,12.88
9,FooL,Derek Carr,Standard,14
9,elementsoul,Kirk Cousins,Standard,20.8
9,Spaniard,Derek Carr,Standard,14
9,FoolsTP,Kirk Cousins,Standard,20.8
9,Bakron,Derek Carr,Standard,14
9,tanay002,Derek Carr,Standard,14
9,Noro,Derek Carr,Standard,14
9,christhrowsrocks,Nick Foles,Deep,21.6
9,Templare1,Drew Lock,Deep,29.22
9,tc216997,Drew Lock,Deep,29.22
9,Herbal,Drew Lock,Deep,29.22
9,Chandlerbing310,Drew Lock,Deep,29.22
9,DUME,Kyle Allen,Deep,2.48
9,Bootz,Drew Lock,Deep,29.22
9,Moose,Drew Lock,Deep,29.22
9,Apatel78,Drew Lock,Deep,29.22
9,Madmike,Drew Lock,Deep,29.22
9,ikyn,Drew Lock,Deep,29.22
9,dudekids,Kyle Allen,Deep,2.48
9,Peltron3030,Jake Luton,Deep,21.46
9,Kingships,Nick Mullens,Deep,11.64
9,Kieran563,Drew Lock,Deep,29.22
9,FooL,Drew Lock,Deep,29.22
9,elementsoul,Drew Lock,Deep,29.22
9,Spaniard,Nick Foles,Deep,21.6
9,FoolsTP,Philip Rivers,Deep,7.08
9,Bakron,Drew Lock,Deep,29.22
9,tanay002,Joe Flacco,Deep,20.48
9,Noro,Garrett Gilbert,Deep,14.52
10,christhrowsrocks,Teddy Bridgewater,Standard,19.04
10,Templare1,Baker Mayfield,Standard,5.38
10,elementsoul,Nick Foles,Standard,2.44
10,Kingships,Tua Tagovailoa,Standard,14.66
10,Madmike,Daniel Jones,Standard,22.16
10,tc216997,Baker Mayfield,Standard,5.38
10,Bootz,Tua Tagovailoa,Standard,14.66
10,Peltron3030,Tua Tagovailoa,Standard,14.66
10,Chandlerbing310,Baker Mayfield,Standard,5.38
10,Bakron,Tua Tagovailoa,Standard,14.66
10,Moose,Baker Mayfield,Standard,5.38
10,Kieran563,Derek Carr,Standard,7.16
10,dudekids,Drew Lock,Standard,6.98
10,FoolsTP,Baker Mayfield,Standard,5.38
10,Noro,Baker Mayfield,Standard,5.38
10,ikyn,Tua Tagovailoa,Standard,14.66
10,DUME,Baker Mayfield,Standard,5.38
10,FooL,Daniel Jones,Standard,22.16
10,Herbal,Teddy Bridgewater,Standard,19.04
10,tanay002,Nick Mullens,Standard,10.18
10,christhrowsrocks,Drew Lock,Deep,6.98
10,Templare1,Drew Lock,Deep,6.98
10,elementsoul,Jake Luton,Deep,8.76
10,Kingships,Drew Lock,Deep,6.98
10,Madmike,Kirk Cousins,Deep,17.58
10,tc216997,Drew Lock,Deep,6.98
10,Bootz,Drew Lock,Deep,6.98
10,Peltron3030,Jake Luton,Deep,8.76
10,Chandlerbing310,Drew Lock,Deep,6.98
10,Bakron,Drew Lock,Deep,6.98
10,Moose,Drew Lock,Deep,6.98
10,Kieran563,Jake Luton,Deep,8.76
10,dudekids,Jake Luton,Deep,8.76
10,FoolsTP,Drew Lock,Deep,6.98
10,Noro,Drew Lock,Deep,6.98
10,ikyn,Jake Luton,Deep,8.76
10,DUME,Alex Smith,Deep,16
10,FooL,Drew Lock,Deep,6.98
10,Herbal,Drew Lock,Deep,6.98
10,tanay002,Nick Mullens,Deep,10.18
11,christhrowsrocks,Kirk Cousins,Standard,22.96
11,Moose,Alex Smith,Standard,8.34
11,FoolsTP,Philip Rivers,Standard,21.42
11,Chandlerbing310,Jameis Winston,Standard,0
11,dudekids,Kirk Cousins,Standard,22.96
11,Templare1,Kirk Cousins,Standard,22.96
11,apatel78,Kirk Cousins,Standard,22.96
11,elementsoul,Kirk Cousins,Standard,22.96
11,ikyn,Jameis Winston,Standard,0
11,Madmike,Derek Carr,Standard,21.6
11,Kieran563,Kirk Cousins,Standard,22.96
11,DUME,Jameis Winston,Standard,0
11,Bakron,Derek Carr,Standard,21.6
11,Apatel78,Tua Tagovailoa,Standard,7.32
11,Noro,Tua Tagovailoa,Standard,7.32
11,Herbal,Derek Carr,Standard,21.6
11,Bootz,Joe Flacco,Standard,14.4
11,Kingships,Derek Carr,Standard,21.6
11,tc216997,Derek Carr,Standard,21.6
11,FooL,Kirk Cousins,Standard,22.96
11,Peltron3030,Kirk Cousins,Standard,22.96
11,tanay002,Taysom Hill,Standard,24.42
11,christhrowsrocks,Andy Dalton,Deep,18.82
11,Moose,Joe Flacco,Deep,14.4
11,FoolsTP,Jameis Winston,Deep,0
11,Chandlerbing310,Jameis Winston,Deep,0
11,dudekids,Alex Smith,Deep,8.34
11,Templare1,Jameis Winston,Deep,0
11,apatel78,Jameis Winston,Deep,0
11,elementsoul,Philip Rivers,Deep,21.42
11,ikyn,Jameis Winston,Deep,0
11,Madmike,Philip Rivers,Deep,21.42
11,Kieran563,Philip Rivers,Deep,21.42
11,DUME,Alex Smith,Deep,8.34
11,Bakron,Taysom Hill,Deep,24.42
11,Apatel78,Alex Smith,Deep,8.34
11,Noro,Taysom Hill,Deep,24.42
11,Herbal,Alex Smith,Deep,8.34
11,Bootz,Joe Flacco,Deep,14.4
11,Kingships,Andy Dalton,Deep,18.82
11,tc216997,Alex Smith,Deep,8.34
11,FooL,Andy Dalton,Deep,18.82
