Week,Player,Choice,Type,Fantasy Points
1,Apatel78,Kirk Cousins,Standard,21.76
1,Apatel78,Gardner Minshew,Deep,20.82
1,Bakron,Baker Mayfield,Standard,9.86
1,Bakron,Teddy Bridgewater,Deep,19.4
1,Bootz,Jimmy Garoppolo,Standard,19.26
1,Bootz,Tyrod Taylor,Deep,9.02
1,Brando,Kirk Cousins,Standard,21.76
1,Brando,Philip Rivers,Deep,14.82
1,Chandlerbing310,Jimmy Garoppolo,Standard,19.26
1,Chandlerbing310,Teddy Bridgewater,Deep,19.4
1,christhrowsrocks,Jimmy Garoppolo,Standard,19.26
1,christhrowsrocks,Philip Rivers,Deep,14.82
1,Code Monkey,Jimmy Garoppolo,Standard,19.26
1,Code Monkey,Philip Rivers,Deep,14.82
1,dudekids,Teddy Bridgewater,Standard,19.4
1,dudekids,Gardner Minshew,Deep,20.82
1,DUME,Jimmy Garoppolo,Standard,19.26
1,DUME,Tyrod Taylor,Deep,9.02
1,Eddie127,Philip Rivers,Standard,14.82
1,Eddie127,Derek Carr,Deep,13.56
1,elementsoul,Philip Rivers,Standard,14.82
1,elementsoul,Ryan Fitzpatrick,Deep,5.44
1,FooL,Jared Goff,Standard,10.5
1,FooL,Drew Lock,Deep,13.14
1,FoolsTP,Philip Rivers,Standard,14.82
1,FoolsTP,Teddy Bridgewater,Deep,19.4
1,Herbal,Ryan Tannehill,Standard,19.36
1,Herbal,Ryan Fitzpatrick,Deep,5.44
1,hlve,Kirk Cousins,Standard,21.76
1,hlve,Mitchell Trubisky,Deep,24.28
1,ikyn,Jared Goff,Standard,10.5
1,ikyn,Teddy Bridgewater,Deep,19.4
1,Jnmaniac1,Derek Carr,Standard,13.56
1,Jnmaniac1,Gardner Minshew,Deep,20.82
1,Karan,Jared Goff,Standard,10.5
1,Karan,Philip Rivers,Deep,14.82
1,Kieran563,Teddy Bridgewater,Standard,19.4
1,Kieran563,Philip Rivers,Deep,14.82
1,Kingships,Jared Goff,Standard,10.5
1,Kingships,Tyrod Taylor,Deep,9.02
1,Klay,Jimmy Garoppolo,Standard,19.26
1,Klay,Philip Rivers,Deep,14.82
1,ListEm,Gardner Minshew,Standard,20.82
1,ListEm,Dwayne Haskins,Deep,12.82
1,Madmike,Daniel Jones,Standard,17.36
1,Madmike,Derek Carr,Deep,13.56
1,Moose,Jared Goff,Standard,10.5
1,Moose,Gardner Minshew,Deep,20.82
1,Noro,Jared Goff,Standard,10.5
1,Noro,Teddy Bridgewater,Deep,19.4
1,Peltron3030,Baker Mayfield,Standard,9.86
1,Peltron3030,Mitchell Trubisky,Deep,24.28
1,Rob,Philip Rivers,Standard,14.82
1,Rob,Philip Rivers,Deep,14.82
1,Smashadams83,Dwayne Haskins,Standard,12.82
1,Smashadams83,Philip Rivers,Deep,14.82
1,Spaniard,Philip Rivers,Standard,14.82
1,Spaniard,Gardner Minshew,Deep,20.82
1,tanay002,Kirk Cousins,Standard,21.76
1,tanay002,Gardner Minshew,Deep,20.82
1,tc216997,Philip Rivers,Standard,14.82
1,tc216997,Teddy Bridgewater,Deep,19.4
1,Templare1,Ryan Fitzpatrick,Standard,5.44
1,Templare1,Derek Carr,Deep,13.56
1,Tre Duce,Mitchell Trubisky,Standard,24.28
1,Tre Duce,Philip Rivers,Deep,14.82
1,verticle,Derek Carr,Standard,13.56
1,verticle,Teddy Bridgewater,Deep,19.4
2,Apatel78,Philip Rivers,Standard,10.86
2,Apatel78,Gardner Minshew,Deep,23.46
2,Bakron,Daniel Jones,Standard,7.74
2,Bakron,Mitchell Trubisky,Deep,13.2
2,Benzo,Baker Mayfield,Standard,15.26
2,Benzo,Teddy Bridgewater,Deep,8.68
2,Bootz,Mitchell Trubisky,Standard,13.2
2,Bootz,Gardner Minshew,Deep,23.46
2,Brando,Baker Mayfield,Standard,15.26
2,Brando,Mitchell Trubisky,Deep,13.2
2,Chandlerbing310,Kirk Cousins,Standard,-1.48
2,Chandlerbing310,Philip Rivers,Deep,10.86
2,christhrowsrocks,Jimmy Garoppolo,Standard,13.24
2,christhrowsrocks,Philip Rivers,Deep,10.86
2,Code Monkey,Kirk Cousins,Standard,-1.48
2,Code Monkey,Gardner Minshew,Deep,23.46
2,dudekids,Ryan Tannehill,Standard,26.76
2,dudekids,Mitchell Trubisky,Deep,13.2
2,DUME,Ryan Tannehill,Standard,26.76
2,DUME,Ryan Fitzpatrick,Deep,24.32
2,elementsoul,Ryan Tannehill,Standard,26.76
2,elementsoul,Philip Rivers,Deep,10.86
2,Ender,Gardner Minshew,Standard,23.46
2,Ender,Mitchell Trubisky,Deep,13.2
2,FooL,Kirk Cousins,Standard,-1.48
2,FooL,Philip Rivers,Deep,10.86
2,FoolsTP,Daniel Jones,Standard,7.74
2,FoolsTP,Philip Rivers,Deep,10.86
2,Herbal,Kirk Cousins,Standard,-1.48
2,Herbal,Gardner Minshew,Deep,23.46
2,hlve,Philip Rivers,Standard,10.86
2,hlve,Mitchell Trubisky,Deep,13.2
2,ikyn,Daniel Jones,Standard,7.74
2,ikyn,Dwayne Haskins,Deep,11.72
2,jizzmonkey69,Ryan Tannehill,Standard,26.76
2,jizzmonkey69,Mitchell Trubisky,Deep,13.2
2,Jnmaniac1,Ryan Tannehill,Standard,26.76
2,Jnmaniac1,Mitchell Trubisky,Deep,13.2
2,Kieran563,Daniel Jones,Standard,7.74
2,Kieran563,Mitchell Trubisky,Deep,13.2
2,Kingships,Jared Goff,Standard,23.98
2,Kingships,Gardner Minshew,Deep,23.46
2,Klay,Ryan Tannehill,Standard,26.76
2,Klay,Mitchell Trubisky,Deep,13.2
2,ListEm,Kirk Cousins,Standard,-1.48
